id,premise,choice1,choice2,question,label,mirrored,premise_form,choice1_form,choice2_form
1283,Hirap na hirap na makatulog ang batang lalaki.,Binuksan niya ang nightlight niya.,Nanood siya ng pelikulang horror.,sanhi,1,1,1,1,1
207,Pinalayas ang mga nangungupahan sa apartment.,Nakaligtaan nilang bayaran ang kanilang upa.,Nagkasundo sila ng kanilang kasero.,sanhi,1,0,1,1,1
1317,Hindi mapakali ang lalaki kinaumagahan.,Nag-camping siya sa kakahuyan.,Nakatulog siya sa kanyang sopa.,sanhi,2,1,1,1,1
1006,Nanalo ang pulitiko sa eleksyon.,Walang bumoto sa kanya.,Nagpatakbo siya ng mga negatibong patalastas sa kampanya.,sanhi,2,1,1,1,1
170,Natapon ang alikabok mula sa mesa.,Tinanggal ko ang mga libro mula sa mesa.,Pinunasan ko ang mesa gamit ang isang tela.,sanhi,2,0,1,1,1
194,Nakaramdam ng pangungulila ang bata.,Umalis siya papunta sa kampo.,Nakipagtalo siya sa kaniyang kapatid na babae.,sanhi,1,0,1,1,1
400,Ang mga sundalo ay nagtago sa mga palumpong.,Armado sila ng mga riple.,Nakasuot sila ng mga uniporme ng camouflage.,sanhi,2,0,0,1,1
262,Ibinunyag ng lalaki ang personal na impormasyon sa therapist.,Nagtiwala siya sa therapist.,Hindi siya sang-ayon sa sinabi ng therapist.,sanhi,1,0,1,1,1
361,Sumailalim ang pasyente sa mapanganib na medikal na pamamaraan.,Magastos ang pamamaraan.,Inirerekomenda ng mga espesyalista ang pamamaraan.,sanhi,2,0,1,1,1
1480,Hindi na nawalan ng mga barya sa bulsa ang lalaki.,Punong-puno ng mga barya ang kaniyang bulsa.,Tinahi niya ang butas sa kanyang bulsa.,sanhi,2,1,1,1,1
317,Nakagat ng lamok ang lalaki.,Nakatulog siya sa kanyang sopa.,Nag-camping siya sa kakahuyan.,sanhi,2,0,1,1,1
149,Huminto ang drayber sa gilid ng kalsada.,Napansin niya ang isang nakaparadang sasakyan.,Dumaan siya sa isang interseksyon.,sanhi,1,0,1,1,1
436,Hinalughog ng mga pulis ang sasakyan ng salarin.,Naghahanap sila ng mga ilegal na droga.,Sinusubukan nilang humingi ng tawad.,sanhi,1,0,1,1,1
129,Matagal ang biyahe.,Nagsalita ang driver buong biyahe.,Nagkamali ng liko ang drayber.,sanhi,2,0,1,1,1
305,Tumanggi ang babae sa pangalawang beer.,Pamilyar sa kanya ang bartender.,Siya ang itinalagang drayber para sa gabing iyon.,sanhi,2,0,1,1,1
1416,Nakinig nang may pananabik ang akusado.,Nagkagulo ang korte.,Inihayag ng hurado ang kanilang hatol.,sanhi,2,1,1,1,1
1200,Nakaramdam ng matinding pagod ang babae.,Hinawakan niya ang doorknob.,Kumatok siya nang malakas sa pinto.,sanhi,2,1,1,1,1
123,Nagdilim ang loob ng tren.,Ang tren ay naglakbay sa isang tunel.,Tumakas ang tren mula sa riles.,sanhi,1,0,1,0,1
1028,Hindi nabakunahan ang bata ngunit hindi naman siya nagkasakit.,Nabakunahan siya para sa sakit.,Iniiwasan niya ang pagkakalantad sa sakit.,sanhi,2,1,1,1,1
1004,Nag-unat ang mananakbo.,Plano niyang tumakbo sa dalampasigan.,Hinulaan ng forecast ang matataas na temperatura.,sanhi,1,1,1,1,1
333,Nawawala ang pitaka ng babae.,Naglalaman ito ng maraming basura.,Iniwan niya itong walang nagbabantay.,sanhi,2,0,1,1,1
90,Binasa nang malakas ng batang lalaki ang nobela sa kaniyang lolo.,Bingi ang lolo niya.,Bulag ang lolo niya.,sanhi,2,0,1,1,1
76,Isinara ng lalaki ang payong.,Lumabas siya ng kotse.,Lumapit siya sa gusali.,sanhi,2,0,1,1,1
1464,Tinanggal ko ang rubber gloves.,Naghahanda na ako para linisin ang banyo.,Naghahanda na ako para maghugas ng kamay.,sanhi,2,1,1,1,1
461,Tumawag ng ambulansya ang ina.,Nawalan ng pusa ang anak niya.,Nahulog ang anak niya mula sa kama.,sanhi,2,0,1,1,1
1184,Mukhang tuwang-tuwa ang tagapagtaguyod.,Sinuportahan niya ang layunin sa likod ng kanyang donasyon.,Gusto niyang panatilihin ang kanyang privacy.,sanhi,1,1,1,1,1
93,Hindi maaninag ang bintana.,May mantsa ang salamin.,Bukas ang mga kurtina.,sanhi,1,0,1,1,1
1119,Natakot ang mga kaibigan ng batang lalaki.,Plano niyang yayain ang dalaga na lumabas.,Malamig at pawisan ang kaniyang mga palad.,sanhi,2,1,1,1,1
1316,Halos hindi makita ng dalaga ang kanyang repleksyon.,Nahihiya siya sa sarili.,May mantsa ang salamin.,sanhi,2,1,1,1,1
1396,Ang skier ay nagbalanse lamang gamit ang kanyang katawan.,Nabitawan niya ang kaniyang mga ski pole.,Nabangga niya ang isang piraso ng yelo.,sanhi,1,1,0,1,1
1176,Natawa ang ama sa telebisyon ng mga bata.,Nanonood ng mga cartoons ang mga bata.,Oras na ng pagtulog ng mga bata noon.,sanhi,1,1,1,1,1
336,Bumagsak sa lupa ang sakay.,Nabangga ng toro ang sakay.,Hinabol ng toro ang sakay.,sanhi,1,0,1,1,1
1104,Ang binatilyo ay laging nasa bahay.,Umasa siya sa kaniyang mga magulang.,Inabuso siya ng mga magulang niya.,sanhi,1,1,0,1,1
1336,Tumakbo ang sakay nang buong bilis.,Nabangga ng toro ang sakay.,Hinabol ng toro ang sakay.,sanhi,2,1,1,1,1
388,Ginaya ng batang lalaki ang kaniyang nakatatandang kapatid.,Nagtaas ng tingin ang batang lalaki sa kaniyang nakatatandang kapatid.,Nakipagbuno ang batang lalaki sa kaniyang nakatatandang kapatid.,sanhi,1,0,1,1,1
283,Natatakot matulog ang batang lalaki.,Nanood siya ng pelikulang horror.,Binuksan niya ang nightlight niya.,sanhi,1,0,1,1,1
454,Nag-init ang ulo ng batang lalaki.,Ibinahagi niya ang kanyang mga laruan sa kanyang kapatid.,Kinuha ng kapatid niya ang mga laruan niya.,sanhi,2,0,1,1,1
1043,Nagpasya ang ehekutibo na kunin ang aplikante.,Hindi nakapasa sa background check ang aplikante.,Ang aplikante ay may karanasan para sa trabaho.,sanhi,2,1,1,1,0
1237,Itinago ng lalaki ang kanyang mga paa.,Butas ang medyas niya.,Binagsak niya ang martilyo sa paa niya.,sanhi,1,1,1,1,1
273,Napansin naman ng lalaki ang babae.,Naamoy niya ang pabango nito.,Nakatalikod siya sa kanya.,sanhi,1,0,1,1,1
1463,Hindi ako gaanong nag-alala tungkol sa pagkawala ng susi.,Pinihit ko ang susi sa kandado.,Gumawa ako ng duplicate ng susi.,sanhi,2,1,1,1,1
70,Pinaandar ng batang lalaki ang radyo.,Nagpatugtog ng rock music ang istasyon.,Papasok na ang istasyon na may dalang static.,sanhi,2,0,1,1,1
1465,Ang mga uri ng hayop ay naging matao.,Nawasak ang kanilang tirahan.,Naubos na ang kanilang mga mandaragit.,sanhi,2,1,0,1,1
1489,Kinontak ng babae ang serbisyo ng kasambahay.,Kailangang linisin ng babae ang kanyang bahay.,Plano ng babae na bumili ng condo.,sanhi,1,1,1,1,1
1072,Nabangga ng suspek ang mga pulis.,Nanlaban ang suspek sa pag-aresto.,Tumawag ng backup ang mga pulis.,sanhi,2,1,1,1,1
1462,Tumigil lahat ng nasa loob ng kotse sa pagkanta.,Nakapatay ang radyo ng kotse.,Isang usa ang lumitaw sa kalsada.,sanhi,1,1,1,1,1
128,Iniwan ng mga magulang ang kanilang mga anak sa isang babysitter.,Nagplano sila para ipagdiwang ang kanilang anibersaryo.,Nagsimulang mag-aral sa preschool ang kanilang bunsong anak.,sanhi,1,0,1,1,1
155,Nakatanggap ang babae ng diploma.,Nag-enroll siya sa kolehiyo.,Nagtapos siya sa kolehiyo.,sanhi,2,0,1,1,1
21,Nakatanggap ang batang babae ng isang tropeo.,Nanalo siya sa isang spelling bee.,Nagkaroon siya ng bagong kaibigan.,sanhi,1,0,1,1,1
1118,Natuto ang estudyante ng pinakamaraming pagkakamali.,Kinausap niya pabalik ang guro.,Binigyan ng guro ng marka ang kaniyang takdang-aralin.,sanhi,2,1,1,1,1
1150,Masaya ang pakiramdam ng pasyente.,Dinalaw siya ng pamilya ng pasyente.,Gumaan ang mga sintomas ng pasyente.,sanhi,1,1,1,1,1
1005,Nagdala ng mga kandila ang mga bisita ng salu-salo.,Isang birthday party iyon.,Isa itong sorpresang salu-salo.,sanhi,1,1,1,1,1
300,Labis ang pasasalamat ng lalaki na buhay pa siya.,Gumaling siya sa kanser.,Nasuring may kanser ang kaniyang asawa.,sanhi,1,0,1,1,1
119,Nanginginig ang mga kamay ng batang lalaki.,Plano niyang yayain ang dalaga na lumabas.,Malamig at pawisan ang kaniyang mga palad.,sanhi,1,0,1,1,1
445,Sumulat ang mamamahayag ng isang talambuhay tungkol sa buhay ng isang humanitarian.,Nahirapang makapanayam ng mamamahayag ang humanitarian.,Naintriga ang mamamahayag sa gawain ng humanitarian.,sanhi,2,0,1,1,1
438,Nadama ng lalaki na obligado siyang dumalo sa kaganapan.,Nangako siya sa kaibigan niya na pupunta siya.,Tinanggihan niya ang imbitasyon ng kaibigan niya na sumama.,sanhi,1,0,1,1,1
485,Naaresto ang babae.,Siya ay nakagawa ng pananakit.,Nagpa-check in siya sa rehab.,sanhi,1,0,1,0,1
1003,Nagulat ang mga babae.,Nagbukas muli ang cafe sa isang bagong lokasyon.,Gusto nilang magkita-kita.,sanhi,1,1,1,1,1
1360,Maraming bagong kaibigan ang tinedyer.,Sumali siya sa koponan ng basketball.,Dumaan siya sa isang mabilis na paglago.,sanhi,1,1,1,1,1
1187,Nasugatan ng batang lalaki ang kanyang kamay sa buhangin.,Nagtatayo siya ng kastilyong buhangin.,Nangongolekta siya ng mga kabibe sa buhangin.,sanhi,2,1,1,1,1
1364,Hindi ako nag-alala na baka mag-crash ang computer ko.,Nag-backup ako ng mga files ko.,Nag-download ako ng virus.,sanhi,1,1,1,1,1
1096,Naghanap ng trabaho ang babae.,Nakatanggap siya ng bonus sa suweldo.,Natanggal sa trabaho ang asawa niya.,sanhi,2,1,1,1,1
385,Natagpuan ng librarian ang libro sa mga salansan.,Humingi ako ng tulong sa librarian.,Na-check out na ang libro.,sanhi,1,0,1,1,1
1411,Hindi natumba ng bola ng bowling ang kahit anong bowling pin.,Nabitawan ng lalaki ang bola ng bowling sa kanyang paa.,Pinagulong ng lalaki ang bola ng bowling sa eskinita.,sanhi,1,1,1,1,1
1193,Itinago ng estudyante ang kaniyang marka sa pagsusulit mula sa kaniyang mga kaklase.,Nakakuha siya ng perpektong iskor.,Nagkunwari siyang interesado sa klase.,sanhi,2,1,1,1,1
1300,Nakaramdam ng depresyon ang lalaki.,Nasuring may kanser ang kaniyang asawa.,Gumaling siya sa kanser.,sanhi,1,1,1,1,1
1021,Hindi na nag-iisa ang dalaga.,Nagkaroon siya ng bagong kaibigan.,Nanalo siya sa isang spelling bee.,sanhi,1,1,1,1,1
28,Ang bata ay naging immune sa sakit.,Nabakunahan siya para sa sakit.,Iniiwasan niya ang pagkakalantad sa sakit.,sanhi,1,0,0,1,1
297,Naligo ang lalaki.,Nagbukas siya ng isang bagong bareta ng sabon.,Pawis na pawis siya galing sa pag-eehersisyo.,sanhi,2,0,1,1,1
1180,Hinala ng ina na nagalit ang kaniyang anak.,Tumanggi siyang kausapin siya.,Iniiwasan niyang makipag-eye contact sa kanya.,sanhi,1,1,1,1,1
1117,Nangako akong bibigyan ko ng diretsong sagot ang tanong.,Hindi ako komportable sa tanong na iyon.,Gusto kong maging tapat.,sanhi,2,1,1,1,1
1161,Umiling ang coach sa kaniyang manlalaro.,Nakatanggap ng penalty ang manlalaro.,Nakaiskor ng isang puntos ang manlalaro.,sanhi,1,1,1,1,1
1210,Pinayagan ng mga magulang ang kanilang mga anak na manood ng pelikula.,Ang pelikula ay may rating na R.,Ginawang animated ang pelikula.,sanhi,2,1,1,0,1
1394,Pinuri ng ina ang kaniyang anak na babae.,Inihanda ng kaniyang anak na babae ang mesa sa kusina.,Dinugmok ang anak niyang babae sa mesa sa kusina.,sanhi,1,1,1,1,1
1417,Pinatunog ng mga bata ang kampana sa bahay ng babae.,Naglakad-lakad ang mga bata sa kanyang hardin.,Pinalo ng mga bata ang bola papunta sa kanyang bakuran.,sanhi,2,1,1,1,1
184,Hiniling ng tagapagtaguyod na manatiling hindi nagpapakilala.,Sinuportahan niya ang layunin sa likod ng kanyang donasyon.,Gusto niyang panatilihin ang kanyang privacy.,sanhi,2,0,1,1,1
350,Nabawasan ang buhay-dagat.,Naglayag ang mga bangka sa karagatan.,Natapon ang langis sa karagatan.,sanhi,2,0,1,1,1
1493,Nakakita ang lalaki ng bakanteng parking space.,Nag-expire na ang metro ng paradahan.,Nagparada siya nang parallel sa kalye.,sanhi,2,1,1,1,1
1385,Sinabi sa akin ng librarian na hindi ko raw maaaring hiramin ang libro.,Na-check out na ang libro.,Humingi ako ng tulong sa librarian.,sanhi,1,1,1,1,1
1040,Kumuha ang babae ng isang consultant sa relasyong pampubliko.,Nagpasya siyang tumakbo para sa posisyon.,Nagpasya siyang kasuhan ang kaniyang amo.,sanhi,1,1,1,1,1
416,Pinukpok ng hukom ang maso.,Inihayag ng hurado ang kanilang hatol.,Nagkagulo ang korte.,sanhi,2,0,1,1,1
280,Namumula ang salamin sa mata ng babae.,Pumasok siya sa sauna.,Nakahiga siya sa tabi ng pool.,sanhi,1,0,1,1,1
243,Ipinagpaliban ng pamilya ang barbecue.,Nagbabala ang taya ng panahon ng mga bagyo.,Bakasyon noon. / Bakasyon noon.,sanhi,1,0,1,1,1
1352,Nahiya ang kostumer habang nasa kahera.,Naagaw ng kanyang pansin ang estante sa bintana.,Naiwan niya ang wallet niya sa bahay.,sanhi,2,1,1,1,1
1361,Hindi kayang bayaran ng pasyente ang medikal na pamamaraan.,Magastos ang pamamaraan.,Inirerekomenda ng mga espesyalista ang pamamaraan.,sanhi,1,1,1,1,1
1211,Binasa ng babae ang email.,Sinubukan ng nagpadala na humingi ng pera sa kanya.,Humingi ng tugon ang nagpadala mula sa kanya.,sanhi,2,1,1,1,1
96,Isinama ng babae ang kanyang pamilya sa bakasyon.,Natanggal sa trabaho ang asawa niya.,Nakatanggap siya ng bonus sa suweldo.,sanhi,2,0,1,1,1
1267,Natapon ang mga sulat mula sa aking mailbox.,Nabasag ang takip ng mailbox.,Nagbakasyon ako nang dalawang linggo.,sanhi,1,1,1,1,1
5,Nagtago ang mga bisita sa likod ng sopa.,Isang birthday party iyon.,Isa itong sorpresang salu-salo.,sanhi,2,0,1,1,1
323,Nakakuha ng pagkilala ang siyentipiko.,Natuklasan niya ang isang bagong uri ng hayop.,Nakatanggap siya ng tenure sa unibersidad.,sanhi,1,0,1,1,1
40,Kumuha ang babae ng abogado.,Nagpasya siyang tumakbo para sa posisyon.,Nagpasya siyang kasuhan ang kaniyang amo.,sanhi,2,0,1,1,1
26,Ligtas na dumulas ang skydiver papunta sa lupa.,Binuksan niya ang kanyang parasyut.,Tumalon siya palabas ng eroplano.,sanhi,1,0,1,1,1
420,Pinadaan ng babae ang kanyang daliri sa malamig na tubig.,Napaso ang daliri niya sa toaster.,Isinuot niya ang singsing na diyamante sa daliri niya.,sanhi,1,0,1,1,1
1387,Tinawagan ko ang ilang realtor.,Naghahanap ako ng bagong apartment.,Lilipat na ako ng apartment ko noon.,sanhi,1,1,1,1,1
1090,Nakipag-usap ang batang lalaki sa kaniyang lolo sa pamamagitan ng pagsulat.,Bingi ang lolo niya.,Bulag ang lolo niya.,sanhi,1,1,1,1,1
1278,Niyaya ng babae ang kaniyang kapatid na babae para sa kape.,Kamukha ng babae ang kapatid niya.,Malapit ang babae sa kaniyang kapatid na babae.,sanhi,2,1,1,1,1
1240,Pinahahalagahan ang koleksyon ng mga photo album.,Naalala ng pamilya ang mga litrato.,Nanatili silang hindi nagalaw sa loob ng maraming taon.,sanhi,1,1,1,1,1
334,Nagkaroon ng amnesia ang babae.,Nagkaroon siya ng allergic reaction.,Naaksidente siya sa sasakyan.,sanhi,2,0,1,1,1
1126,Itinapon ng dalaga ang kaniyang mga damit.,Gula-gulanit ang mga damit.,Naubos na niya ang mga damit.,sanhi,1,1,1,1,1
1241,Natulala ako sa usapan namin ng babae.,Nagkukwento ng nakakatawa ang babae.,Nag-uusap ang lahat ng tao sa silid.,sanhi,1,1,1,1,1
67,Natuto akong maglaro ng board game.,Mali ang naging patakaran ng kaibigan ko.,Ipinaliwanag sa akin ng kaibigan ko ang mga patakaran.,sanhi,2,0,1,1,1
356,Hindi pumasok sa trabaho ang empleyado.,Nakipag-ugnayan na ang pamilya niya sa kanya.,May namatay sa pamilya niya.,sanhi,2,0,1,1,1
1466,Napansin ng lalaki na mahilig ang babae sa alahas.,Nagpagupit ang babae.,Ang babae ay may suot na pulseras.,sanhi,2,1,1,1,0
302,Nag-aatubiling lumipat ng karera ang babae.,Malaki ang kinikita niya sa kasalukuyan niyang trabaho.,Maraming stress ang kanyang tiniis sa kanyang kasalukuyang trabaho.,sanhi,1,0,1,1,1
256,Lumipat ang mga sasakyan sa gilid ng kalsada.,Isang sumisigaw na ambulansya ang papalapit.,Naging berde ang ilaw trapiko.,sanhi,1,0,1,1,1
212,Tinanggal ng pulisya ang babae sa listahan ng mga suspek.,Ininteroga siya ng mga pulis.,Napatunayan na ang alibi niya.,sanhi,2,0,1,1,1
180,Hinala ng ina na nagsisinungaling ang kaniyang anak.,Tumanggi siyang kausapin siya.,Iniiwasan niyang makipag-eye contact sa kanya.,sanhi,2,0,1,1,1
106,Ipinagpaliban ng kompanya ng parmasyutiko ang gamot.,Nakatanggap ang mga gumagamit ng mga refill sa kanilang mga reseta.,Nag-ulat ang mga gumagamit ng mga mapanganib na epekto.,sanhi,2,0,1,1,1
1323,Ipinagpatuloy ng siyentipiko ang kanyang patuloy na pananaliksik.,Nakatanggap siya ng tenure sa unibersidad.,Natuklasan niya ang isang bagong uri ng hayop.,sanhi,1,1,1,1,1
24,Kinansela ng host ang party.,Nag-aalala siyang baka magka-trangkaso siya.,Sigurado siyang may trangkaso siya.,sanhi,2,0,1,1,1
1305,Nanatili ang babae nang gabi sa bar.,Pamilyar sa kanya ang bartender.,Siya ang itinalagang drayber para sa gabing iyon.,sanhi,1,1,1,1,1
1256,Lumipat ang mga sasakyan papunta sa interseksyon ng kalsada.,Naging berde ang ilaw trapiko.,Isang sumisigaw na ambulansya ang papalapit.,sanhi,1,1,1,1,1
1024,Nabakunahan ang babae.,Sigurado siyang may trangkaso siya.,Nag-aalala siyang baka magka-trangkaso siya.,sanhi,2,1,1,1,1
1356,Muling nakipag-ugnayan ang babae sa malalayong kamag-anak.,Nakipag-ugnayan na ang pamilya niya sa kanya.,May namatay sa pamilya niya.,sanhi,1,1,1,1,1
150,Pinauwi na ng ospital ang pasyente.,Gumaan ang mga sintomas ng pasyente.,Dinalaw siya ng pamilya ng pasyente.,sanhi,1,0,1,1,1
1123,Nawasak ang loob ng tren.,Tumakas ang tren mula sa riles.,Ang tren ay naglakbay sa isang tunel.,sanhi,1,1,1,1,0
1197,Na-reschedule ang flight ko.,May mga namataang buhawi sa lugar.,Hinarang ako sa seguridad ng paliparan.,sanhi,2,1,1,1,1
1302,Kamakailan lang ay nagbitiw sa trabaho ang babae.,Malaki ang kinikita niya sa kasalukuyan niyang trabaho.,Maraming stress ang kanyang tiniis sa kanyang kasalukuyang trabaho.,sanhi,2,1,0,1,1
117,Iniwasan kong sumagot nang diretso sa tanong.,Hindi ako komportable sa tanong na iyon.,Gusto kong maging tapat.,sanhi,1,0,1,1,1
158,Tinakpan ng babae ang kanyang mga tainga.,Amoy usok ang babae.,Tumunog nang malakas ang alarma sa sunog.,sanhi,2,0,1,1,1
1019,Nakilala ko ang tumatawag.,Nagpakilala sa akin ang tumawag.,Nagpaalam na sa akin ang tumawag.,sanhi,1,1,1,1,1
182,Isang bunganga na nabuo sa buwan.,Isang kometa ang dumaan sa buwan.,Isang kometa ang bumangga sa buwan.,sanhi,2,0,1,1,1
10,Nagsampa ng reklamo ang kostumer sa tagapamahala ng tindahan.,Naging bastos ang sales associate sa customer.,Mababa ang singil ng sales associate sa customer.,sanhi,1,0,1,1,1
1301,Hindi ginamit ng babae ang kanyang credit card.,Natanggap na niya ang buwanang bayarin niya.,Mas gusto niyang magbayad gamit ang cash.,sanhi,2,1,1,1,1
1108,Pinalitan ko ang sahig ng bagong-bagong tile.,Natapon ko ang juice sa sahig.,Permanenteng may mantsa ang sahig.,sanhi,2,1,1,1,1
1158,Tinakpan ng babae ang ilong niya.,Tumunog nang malakas ang alarma sa sunog.,Amoy usok ang babae.,sanhi,2,1,1,1,1
371,Muling inihalal ng lungsod ang alkalde.,Tinupad ng alkalde ang kanyang mga pangako.,Binawasan ng lungsod ang badyet nito.,sanhi,1,0,1,1,1
108,Pinunasan ko ang sahig gamit ang paper towel.,Permanenteng may mantsa ang sahig.,Natapon ko ang juice sa sahig.,sanhi,2,0,1,1,1
1026,Nagsimulang mahulog ang skydiver.,Binuksan niya ang kanyang parasyut.,Tumalon siya palabas ng eroplano.,sanhi,2,1,1,1,1
65,Dinala ng pamilya ang kanilang aso sa beterinaryo.,Nasugatan ng aso ang kaniyang paa.,Ngumunguya ng buto ang aso.,sanhi,1,0,1,1,1
369,Natapon ang mga baso sa mesa.,Hinila ng bata ang mantel.,Gumuhit ang bata sa mesa.,sanhi,1,0,1,1,1
1106,Itinaguyod ng kompanya ng parmasyutiko ang gamot.,Nakatanggap ang mga gumagamit ng mga refill sa kanilang mga reseta.,Nag-ulat ang mga gumagamit ng mga mapanganib na epekto.,sanhi,1,1,1,1,1
407,Napagdesisyunan kong manatili sa bahay para sa gabing iyon.,Niyaya ako ng mga kaibigan ko na lumabas.,Nagbabala ang taya ng panahon ng mga bagyo.,sanhi,2,0,1,1,1
1376,Nakakuha ulit ng isa pang aso ang batang babae.,Kinagat siya ng aso.,Iniligtas niya ang isang inabandunang aso.,sanhi,2,1,1,1,1
200,Nakaramdam ng kuryente ang babae.,Kumatok siya nang malakas sa pinto.,Hinawakan niya ang doorknob.,sanhi,2,0,1,1,1
